Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,5366.000000,5506.000000,5342.000000,5475.000000,4964.382324,843920
2019-09-03,5452.000000,5469.000000,5371.000000,5419.000000,4913.605469,667867
2019-09-04,5434.500000,5476.000000,5426.500000,5450.000000,4941.714355,683721
2019-09-05,5460.000000,5549.500000,5460.000000,5524.500000,5009.266113,794565
2019-09-06,5525.500000,5555.000000,5465.000000,5526.500000,5011.079102,692582
2019-09-09,5537.000000,5568.000000,5471.000000,5500.000000,4987.050781,393729
2019-09-10,5500.500000,5504.500000,5427.000000,5476.000000,4965.289063,485280
2019-09-11,5478.500000,5540.000000,5437.000000,5540.000000,5023.320313,698686
2019-09-12,5525.000000,5536.500000,5387.500000,5429.500000,4923.126465,853194
2019-09-13,5406.500000,5409.500000,5340.500000,5377.500000,4875.975586,638231
2019-09-16,5484.000000,5582.500000,5479.500000,5559.000000,5040.548340,1877393
2019-09-17,5560.000000,5600.000000,5416.000000,5472.500000,4962.115723,1006856
2019-09-18,5465.000000,5480.500000,5420.000000,5467.000000,4957.128906,573525
2019-09-19,5455.000000,5470.500000,5382.000000,5391.000000,4888.216797,1113944
2019-09-20,5389.000000,5489.000000,5371.000000,5489.000000,4977.077148,1578781
2019-09-23,5460.000000,5460.000000,5403.000000,5420.000000,4914.511719,622325
2019-09-24,5424.000000,5438.500000,5317.500000,5337.500000,4839.706055,688395
2019-09-25,5326.500000,5343.500000,5265.500000,5343.500000,4845.146973,628849
2019-09-26,5345.000000,5399.000000,5321.000000,5387.500000,4885.042969,619344
2019-09-27,5383.000000,5439.500000,5370.000000,5405.000000,4900.911133,414147
2019-09-30,5406.000000,5435.000000,5375.500000,5387.500000,4885.042969,477623
2019-10-01,5390.000000,5750.000000,5385.000000,5530.000000,5014.252930,1695589
2019-10-02,5530.000000,5560.000000,5405.000000,5410.000000,4905.444336,900852
2019-10-03,5411.000000,5450.000000,5354.000000,5362.500000,4862.375000,666857
2019-10-04,5384.000000,5413.500000,5300.000000,5335.000000,4837.439453,626907
2019-10-07,5341.000000,5388.500000,5321.000000,5367.000000,4866.454590,421486
2019-10-08,5376.000000,5382.000000,5315.000000,5320.000000,4823.838379,547392
2019-10-09,5319.000000,5337.500000,5290.000000,5304.000000,4809.330566,532105
2019-10-10,5308.000000,5347.000000,5261.000000,5318.500000,4822.478516,413506
2019-10-11,5350.000000,5466.500000,5335.000000,5425.000000,4919.045898,827177
2019-10-14,5448.500000,5466.000000,5387.000000,5441.000000,4933.553223,584158
2019-10-15,5446.000000,5622.500000,5413.500000,5601.500000,5079.084473,1786560
2019-10-16,5618.000000,5803.500000,5578.000000,5715.500000,5182.452637,3703802
